area_level,area_type,area_name_clean,subdistrict_code,town_village_code,ward_code,num_households,total_population_persons,total_workers_persons,non_workers_persons,literate_population_persons
Village,Rural,Hancharahalli,5544,613091,0,257,1200,476,724,841
Village,Rural,Raghuvanahalli,5544,613092,0,29,142,71,71,92
Village,Rural,Kodigehalli,5544,613093,0,38,152,65,87,67
Village,Rural,Mandur,5544,613094,0,533,2295,919,1376,1653
Village,Rural,Bendiganahalli,5544,613095,0,48,240,149,91,150
Village,Rural,Lagumenahalli,5544,613096,0,63,306,196,110,167
Village,Rural,Bommenahalli,5544,613097,0,289,1320,809,511,849
Village,Rural,Huskur,5544,613098,0,350,1444,658,786,975
Village,Rural,Nimbekaipura,5544,613099,0,200,898,334,564,613
Village,Rural,Cheemasandra,5544,613100,0,925,3631,1714,1917,2552
Village,Rural,Avalahalli,5544,613101,0,1821,7077,3182,3895,5518
Village,Rural,Veerenahalli,5544,613102,0,552,2182,1085,1097,1477
Village,Rural,Kurudusonnenahalli,5544,613103,0,265,1074,698,376,754
Village,Rural,Dommasandra,5544,613104,0,295,1139,570,569,779
Village,Rural,Doddabanahalli,5544,613105,0,310,1224,483,741,844
Village,Rural,Bidare Agrahara,5544,613106,0,440,1869,810,1059,1162
Village,Rural,Bandapura,5544,613107,0,263,1081,393,688,814
Village,Rural,Konadasapura,5544,613108,0,1074,4170,2035,2135,2971
Village,Rural,Katamnallur,5544,613109,0,502,1954,806,1148,1388
Village,Rural,Goravigere,5544,613110,0,322,1355,795,560,929
Village,Rural,Khaji Sonnenahalli,5544,613111,0,453,1812,827,985,1322
Village,Rural,Kannamangala,5544,613112,0,1146,4381,2091,2290,3114
Village,Rural,Chikkabanahalli,5544,613113,0,299,1275,439,836,834
Village,Rural,Seegehalli,5544,613114,0,1012,3858,1883,1975,2968
Village,Rural,Halanayakanahalli,5544,613115,0,926,3648,1628,2020,2579
Village,Rural,Chikkakannalli,5544,613116,0,16,58,24,34,48
Village,Rural,Valepura,5544,613117,0,315,1213,467,746,825
Village,Rural,Kachamaranahalli,5544,613118,0,254,1056,522,534,698
Village,Rural,Mulluru,5544,613119,0,845,3416,1259,2157,2536
Village,Rural,Hadosiddapura,5544,613120,0,228,915,457,458,684
Village,Rural,Chikkanayakanahalli,5544,613121,0,323,1315,606,709,901
Village,Rural,Kodathi,5544,613122,0,707,2911,1344,1567,2106
Village,Rural,Sulikunte,5544,613123,0,538,2295,979,1316,1608
Town,Urban,BBMP (M Corp. + OG) (Part),5544,803162,0,1854,8143,3308,4835,5148
Ward,Urban,Doddagubbi (OG),5544,803162,205,577,2476,864,1612,1742
